benchmark,algorithm,time
npuzzle_4x4_len6_4.txt,astar,0.2189
npuzzle_5x5_len3_7.txt,bfs,0.2228
npuzzle_5x5_len3_7.txt,dfs,0.2505
npuzzle_5x5_len3_7.txt,astar,0.2241
npuzzle_4x4_len5_2.txt,bfs,0.2564
npuzzle_4x4_len5_2.txt,dfs,0.2091
npuzzle_4x4_len5_2.txt,astar,0.2302
npuzzle_4x4_len9_7.txt,bfs,0.3199
npuzzle_4x4_len9_7.txt,dfs,0.2345
npuzzle_4x4_len9_7.txt,astar,0.2198
npuzzle_5x5_len7_8.txt,bfs,0.2502
npuzzle_5x5_len7_8.txt,dfs,0.2339
npuzzle_5x5_len7_8.txt,astar,0.3009
npuzzle_5x5_len7_4.txt,bfs,0.2709
npuzzle_5x5_len7_4.txt,dfs,0.2309
npuzzle_5x5_len7_4.txt,astar,0.2235
npuzzle_5x5_len1_1.txt,bfs,0.2296
npuzzle_5x5_len1_1.txt,dfs,0.2435
npuzzle_5x5_len1_1.txt,astar,0.2396
npuzzle_5x5_len8_4.txt,bfs,0.3024
npuzzle_5x5_len8_4.txt,dfs,0.2405
npuzzle_5x5_len8_4.txt,astar,0.2244
npuzzle_4x4_len3_0.txt,bfs,0.2694
npuzzle_4x4_len3_0.txt,dfs,0.2582
npuzzle_4x4_len3_0.txt,astar,0.2891
npuzzle_5x5_len10_4.txt,bfs,0.3626
npuzzle_5x5_len10_4.txt,dfs,0.2713
npuzzle_5x5_len10_4.txt,astar,0.26
npuzzle_4x4_len5_9.txt,bfs,0.2239
npuzzle_4x4_len5_9.txt,dfs,0.2329
npuzzle_4x4_len5_9.txt,astar,0.249
npuzzle_5x5_len4_7.txt,bfs,0.236
npuzzle_5x5_len4_7.txt,dfs,0.2248
npuzzle_5x5_len4_7.txt,astar,0.2346
npuzzle_5x5_len6_0.txt,bfs,0.2285
npuzzle_5x5_len6_0.txt,dfs,0.2178
npuzzle_5x5_len6_0.txt,astar,0.216
npuzzle_4x4_len6_7.txt,bfs,0.2299
npuzzle_4x4_len6_7.txt,dfs,0.2244
npuzzle_4x4_len6_7.txt,astar,0.2572
npuzzle_5x5_len10_0.txt,bfs,0.286
npuzzle_5x5_len10_0.txt,dfs,0.2329
npuzzle_5x5_len10_0.txt,astar,0.2302
npuzzle_3x3_len9_9.txt,bfs,0.2274
npuzzle_3x3_len9_9.txt,dfs,0.2414
npuzzle_3x3_len9_9.txt,astar,0.2248
npuzzle_3x3_len9_2.txt,bfs,0.2324
npuzzle_3x3_len9_2.txt,dfs,0.2248
npuzzle_3x3_len9_2.txt,astar,0.2272
npuzzle_3x3_len5_3.txt,bfs,0.2542
npuzzle_3x3_len5_3.txt,dfs,0.228
npuzzle_3x3_len5_3.txt,astar,0.2306
npuzzle_4x4_len4_8.txt,bfs,0.2269
npuzzle_4x4_len4_8.txt,dfs,0.2299
npuzzle_4x4_len4_8.txt,astar,0.2165
npuzzle_3x3_len3_9.txt,bfs,0.2338
npuzzle_3x3_len3_9.txt,dfs,0.2295
npuzzle_3x3_len3_9.txt,astar,0.2264
npuzzle_5x5_len9_0.txt,bfs,0.2219
npuzzle_5x5_len9_0.txt,dfs,0.3075
npuzzle_5x5_len9_0.txt,astar,0.257
npuzzle_3x3_len4_1.txt,bfs,0.2207
npuzzle_3x3_len4_1.txt,dfs,0.2158
npuzzle_3x3_len4_1.txt,astar,0.2175
npuzzle_3x3_len1_6.txt,bfs,0.2178
npuzzle_3x3_len1_6.txt,dfs,0.2147
npuzzle_3x3_len1_6.txt,astar,0.2188
npuzzle_4x4_len6_5.txt,bfs,0.2092
npuzzle_4x4_len6_5.txt,dfs,0.2299
npuzzle_4x4_len6_5.txt,astar,0.2443
npuzzle_4x4_len4_4.txt,bfs,0.2286
npuzzle_4x4_len4_4.txt,dfs,0.2259
npuzzle_4x4_len4_4.txt,astar,0.223
npuzzle_4x4_len5_4.txt,bfs,0.2254
npuzzle_4x4_len5_4.txt,dfs,0.222
npuzzle_4x4_len5_4.txt,astar,0.2155
npuzzle_3x3_len3_7.txt,bfs,0.2144
npuzzle_3x3_len3_7.txt,dfs,0.2275
